,node_id,topic_id
0,3,0
1,3,1
2,3,2
3,6,3
4,6,4
5,7,5
6,13,6
7,13,7
8,13,8
9,13,9
10,13,10
11,13,11
12,13,12
13,13,13
14,13,14
15,13,15
16,13,16
17,13,17
18,13,18
19,18,19
20,18,20
21,18,21
22,18,22
23,18,23
24,18,24
25,19,25
26,19,26
27,19,27
28,19,28
29,19,29
30,35,30
31,35,31
32,35,32
33,35,33
34,35,34
35,35,35
36,35,36
37,35,37
38,35,38
39,35,39
40,35,40
41,35,41
42,35,42
43,35,43
44,35,44
45,35,45
46,35,46
47,37,47
48,37,48
49,37,49
50,37,50
51,37,51
52,37,52
53,37,53
54,42,54
55,44,55
56,44,56
57,44,57
58,62,58
59,62,59
60,62,60
61,62,61
62,62,62
63,62,63
64,62,64
65,62,65
66,62,66
67,76,67
68,79,68
69,79,69
70,83,70
71,83,71
72,83,72
73,83,73
74,84,0
75,84,74
76,86,75
77,86,76
78,86,77
79,86,78
80,86,79
81,86,80
82,86,81
83,86,82
84,86,83
85,86,84
86,86,85
87,90,86
88,90,87
